id;rawId;name;city;categoryName;subcategoryName;deleted;STATE;ID_RECOMMENDED_BUSINESS_STATE;tab_url;main_url;gallery_urls
16402;ia_2039;4 Bares originales Madrid (vídeo múltiple);Madrid;Restaurantes;Internacional, Coctelería;0;3;3;;;
18665;ia_4890;4 días en Valencia y Barcelona desde Madrid - Madrid;Madrid;Experiencias Unicas;Cata/Maridaje de vino / Bodega;0;1;1;;;
17690;ia_3519;4 horas totalmente personalizable historia y las leyendas de Madrid a pie;Madrid;Arte y Cultura;Arquitectura / edificio emblemático, Según elección del visitante;0;3;3;;;
14945;ia_529;44 SUSHI BAR;Madrid;Restaurantes;Japonesa, Sushi, Sashimi;0;3;3;;;
1556;4elementos;4Elementos;Madrid;Compras;Tiendas, Para ti, Moda, Otro;0;4;3;18335;18333;
115;4every1_festival_;4every1 Festival;Madrid;Fiesta;Festivales, Exposiciones;1;4;4;12392;12391;12389,12390
14559;ia_62;5 Senses by Hielo y Carbón;Madrid;Restaurantes;Internacional, Cocina Internacional, Cócteles;0;3;3;;;
1396;50_project_skatepark;50 project skatepark;Madrid;Ocio y eventos;Experiencias y actividades;0;3;3;16713;16714;16715,16718,16719,16720
19201;ia_5565;511 Events;Madrid;Experiencias Unicas;Clase/Taller (general);0;1;1;;;
5852;528;528;Ibiza;Restaurantes;Trendy, Mediterranea, Restaurantes;0;3;3;49603;;49604
18666;ia_4892;6 días Extremadura Clásica sin conductor desde Madrid - Madrid;Madrid;Experiencias Unicas;Tour de 6 días;0;1;1;;;
5316;6_reales_aranjuez;6 Reales Aranjuez;Aranjuez;Restaurantes;Trendy, Español, Restaurantes;0;3;3;;;47931,47932,47933,47934,47935,47936,47937,47938,47939,47940
15936;ia_1553;68 Yong Tai;Madrid;Restaurantes;"China, Tallarines; Dim Sum; Pato";0;3;3;;;
18667;ia_4895;7 días de Madrid a Andalucía Autoconducción desde Madrid - Madrid;Madrid;Experiencias Unicas;Clase/Taller (general);0;1;1;;;
1260;71_gramercy_;71 Gramercy;Filipinas;Fiesta;Discotecas;0;1;3;16781;16782;16783,16784,16785
5037;71_oyster_bar_;71 Oyster Bar;Barcelona;Restaurantes;Top;0;3;3;45300;45302;45060,45061,45062,45063,45064,45066,45067,45068,45069,45299,45301
5624;7ª_y_8ª_pruebas_del_xx_circuito_provincia_orientacion_diputacion_de_malaga_;7ª y 8ª Pruebas del XX Circuito Provincia Orientación Diputación de Málaga;Ronda;Ocio y eventos;Eventos;0;3;3;49131;49129;
14639;ia_182;8020 Restaurante Vinos Bar;Madrid;Restaurantes;Española / Moderna, Vinos, Tapas modernas, Cocina de mercado;0;3;3;;;
15963;ia_1580;809 Madrid Bar Restaurante;Madrid;Restaurantes;"Caribeña, Mofongo; Sancocho; Plátanos";0;3;3;;;
18668;ia_4898;9 Días Corazón de España Autoconducción desde Madrid - Madrid;Madrid;Experiencias Unicas;Tour de 9 días;0;1;1;;;
18318;ia_4366;95 ART GALLERY;Madrid;Arte y Cultura;Museo de arte contemporáneo, arte contemporáneo emergente, arte emergente, inauguraciones colectivas, Pintura, fotografía, instalación de artistas emergentes;0;1;1;73453;73452;
585;99_sushi_bar;99 Sushi Bar;Madrid;Restaurantes;Top, Japonés, Restaurantes, Restaurant & Club;0;4;4;15819;15820;15821,15822,15824
14911;ia_490;99 Sushi Bar Hermosilla;Madrid;Restaurantes;Japonesa, Sushi de autor, Sashimi;0;3;3;;;
15870;ia_1464;99 Sushi Bar Padre Damián;Madrid;Restaurantes;Japonesa, Sushi, Cocina japonesa;0;3;3;;;
6138;9cca51ca-bfd8-4517-885d-48d06d4dcf29;9cca51ca-bfd8-4517-885d-48d06d4dcf29;Madrid;Fiesta;Discotecas, Festivales;0;1;3;;;
16873;ia_2642;<b>Apartamentos Blume Conde Aranda</b>: elegancia en el barrio Salamanca;Madrid;Alojamiento;"Apartamentos turísticos, Cocina equipada; Atención personalizada";0;3;3;;;
16843;ia_2606;<b>Bastardo Hostel</b> Malasaña: arte, terraza y diseño;Madrid;Alojamiento;"hostel, Bar terraza; Eventos culturales";0;3;3;;;
16861;ia_2630;<b>Blacky Madrid</b>: hotel urbano moderno en Latina;Madrid;Alojamiento;"Hotel Urbano, Bar; WiFi alta velocidad";0;3;3;;;
16868;ia_2637;<b>Bob W Madrid Chueca</b>: apartamentos boutique en el corazón de Madrid;Madrid;Alojamiento;"Apartamentos de diseño, Cocina equipada; Check-in digital";0;3;3;;;
16883;ia_2652;<b>Casa du Soleil</b>: hostal boutique con encanto en el centro de Madrid;Madrid;Alojamiento;"Hostal boutique de diseño, Desayuno; WiFi";0;3;3;;;
16870;ia_2639;<b>Con Alquiler</b>: villas y apartamentos de lujo en Madrid;Madrid;Alojamiento;"Gestor de apartamentos y villas, Concierge; Villas premium";0;3;3;;;
16863;ia_2632;<b>El Punto Guay</b>: hostal moderno con rooftop en Madrid;Madrid;Alojamiento;"Hostal Boutique, Rooftop; Gastrobar";0;3;3;;;
16862;ia_2631;<b>Eurostars Monte Real</b>: hotel con spa y jardines en Madrid;Madrid;Alojamiento;"Hotel 4★ Spa, Spa; Jardines";0;3;3;;;
16867;ia_2636;<b>Exquisite Villa With Parking</b>: lujo y tranquilidad en Madrid;Madrid;Alojamiento;"Villa privada, Parking; Jardín";0;3;3;;;
16851;<b>four_seasons_hotel_madrid</b>:_lujo_historico_y_rooftop;<b>Four Seasons Hotel Madrid</b>: lujo histórico y rooftop;Madrid;Alojamiento;Hoteles, Hotel 5★ Lujo;0;3;3;;;74093
16845;ia_2608;<b>Generator Madrid</b>: hostel premium con rooftop;Madrid;Alojamiento;"hostel, Rooftop bar; Restaurante propio";0;3;3;;;
16876;ia_2645;<b>Gran View Apartments</b>: lujo y vistas únicas en Gran Vía;Madrid;Alojamiento;"Apartamentos de lujo / Serviced apartments, Piscina; Rooftop";0;3;3;;;
16878;ia_2647;<b>Homeclub Apartments</b>: lujo y diseño en Madrid;Madrid;Alojamiento;"Apartamentos de lujo, Concierge; Limpieza diaria";0;3;3;;;
16889;ia_2658;<b>Hostal Aresol</b>: tradición y ubicación junto a Sol;Madrid;Alojamiento;"Hostal tradicional 2★, WiFi; Ubicación central";0;3;3;;;
16888;ia_2657;<b>Hostal Falfes</b>: comodidad y precio en Tetuán;Madrid;Alojamiento;"Hostal económico 1★, WiFi; Aire acondicionado";0;3;3;;;
16880;ia_2649;<b>Hostal Granado</b>: confort y hospitalidad en Madrid Sur;Madrid;Alojamiento;"Restaurante; Parking, Hostal urbano moderno";0;3;3;;;
16881;ia_2650;<b>Hostal María Ronda</b>: confort y trato familiar en Madrid Sur;Madrid;Alojamiento;"Hostal urbano 3★, WiFi; Parking";0;3;3;;;
16853;ia_2617;<b>Hostelfly</b> Madrid: hostel práctico junto al aeropuerto;Madrid;Alojamiento;"Hostel económico, Transfer gratuito; Recepción 24h";0;3;3;;;
16866;ia_2635;<b>Hotel Aravaca Village</b>: confort y elegancia en Madrid;Madrid;Alojamiento;"Hotel 4★, Gimnasio; Restaurante";0;3;3;;;
16875;ia_2644;<b>Hotel Concordy</b>: confort y buena conexión en Madrid;Madrid;Alojamiento;"Hotel 2★, Restaurante; Parking";0;3;3;;;
16865;ia_2634;<b>Hotel Exe Zarzuela Park</b>: descanso y naturaleza en Madrid;Madrid;Alojamiento;"Hotel 3★, Piscina; Restaurante";0;3;3;;;
16893;ia_2662;<b>Hotel ILUNION Atrium</b>: diseño y piscina en Ciudad Lineal;Madrid;Alojamiento;"Hotel 4★ moderno de negocios, Piscina exterior; Gimnasio";0;3;3;;;
16895;ia_2664;<b>Hotel Montera Madrid</b>: lujo Hilton con rooftop y piscina;Madrid;Alojamiento;"Hotel 5★ lifestyle, Piscina rooftop; Skybar 360°";0;3;3;;;
16894;ia_2663;<b>Hotel Ópera</b>: elegancia y vistas junto al Teatro Real;Madrid;Alojamiento;"Hotel 4★ clásico urbano, Habitaciones con jacuzzi; Terraza panorámica";0;3;3;;;
16896;ia_2665;<b>Hotel Praga</b>: confort 4★ junto a Madrid Río;Madrid;Alojamiento;"Hotel 4★ urbano, Restaurante; Parking privado";0;3;3;;;
16854;ia_2618;<b>Hotel Villa Real</b> Madrid: arte y lujo clásico;Madrid;Alojamiento;"Hotel 5★ Clásico, Restaurante East 47; Galería de arte";0;3;3;;;
16849;ia_2612;<b>ibis Madrid Aeropuerto Barajas</b>: funcional y cómodo;Madrid;Alojamiento;"hotel economico, Shuttle gratuito; Desayuno buffet";0;3;3;;;
16885;ia_2654;<b>ICON Madrid</b>: hotel boutique moderno en el corazón de Madrid;Madrid;Alojamiento;"Hotel boutique 4★ contemporáneo, Restaurante; Bar";0;3;3;;;
16847;ia_2610;<b>Ikos Resorts</b> Madrid: lujo todo incluido;Madrid;Alojamiento;"Resort, Spa Anne Semonin; Infinite Lifestyle";0;3;3;;;
16890;ia_2659;<b>Ivory Escapes</b>: apartamentos de lujo con concierge en Salamanca;Madrid;Alojamiento;"Apartamentos de lujo / Serviced apartments, Concierge; Limpieza";0;3;3;;;
16846;ia_2609;<b>L&H Callao Selection</b> Madrid: suites urbanas;Madrid;Alojamiento;"Apartamentos turísticos, Cocina equipada; Recepción 24h";0;3;3;;;
16882;ia_2651;<b>Livensa Living Aravaca</b>: residencia estudiantil con estilo en Madrid;Madrid;Alojamiento;"Residencia de estudiantes moderna, Piscina; Coworking";0;3;3;;;
16859;ia_2623;<b>Living Cohousing</b> Madrid: comunidad sostenible y moderna;Madrid;Alojamiento;"Coliving / Vivienda compartida, Talleres; Cocina compartida";0;3;3;;;
16879;ia_2648;<b>Madrid Plaza Apartments</b>: diseño y confort junto a Plaza España;Madrid;Alojamiento;"Apartamentos turísticos, Cocina; Terraza";0;3;3;;;
16874;ia_2643;<b>MadridEasy</b>: coliving y apartamentos para estudiantes en Madrid;Madrid;Alojamiento;"Residencia/Apartamentos para estudiantes, Limpieza; Atención 24h";0;3;3;;;
16892;ia_2661;<b>Mandarin Oriental Ritz Madrid</b>: lujo 5★ frente al Retiro;Madrid;Alojamiento;"Hotel 5★ lujo histórico, Spa; Restaurante Michelin";0;3;3;;;
16852;ia_2616;<b>Mola! Hostel</b> Madrid: joven, moderno y social;Madrid;Alojamiento;"hostel, Desayuno buffet; Actividades sociales";0;3;3;;;
16872;ia_2641;<b>Plaza España Skyline</b>: apartamentos con vistas y piscina en Madrid;Madrid;Alojamiento;"Apartamentos de lujo, Piscina; Gimnasio";0;3;3;;;
16850;ia_2614;<b>Restaurante Santo Mauro</b>: alta cocina y elegancia;Madrid;Alojamiento;"Restaurante de hotel, Menú degustación; Coctelería";0;3;3;;;
16869;ia_2638;<b>Rightplace San Mateo</b>: apartamentos modernos en el centro de Madrid;Madrid;Alojamiento;"Apartamentos turísticos, Cocina; Limpieza";0;3;3;;;
16877;ia_2646;<b>Roisa Centro</b>: apartamentos turísticos en Chamberí;Madrid;Alojamiento;"Apartamentos turísticos, Cocina; Limpieza";0;3;3;;;
16887;ia_2656;<b>Room Mate Mario</b>: diseño pop junto al Teatro Real;Madrid;Alojamiento;"Hotel contemporáneo 2★, Desayuno hasta las 12; WiFi";0;3;3;;;
16842;ia_2605;<b>room00 Gran Vía Hostel</b> en Madrid centro;Madrid;Alojamiento;"hostel, Coworking; Desayuno continental";0;3;3;;;
16844;ia_2607;<b>Room007 Ventura Hostel</b> Madrid: joven y urbano;Madrid;Alojamiento;"hostel, Restaurante propio; Recepción 24h";0;3;3;;;
16891;ia_2660;<b>Rural Rentals SL</b>: alquiler rural y turístico en España;Madrid;Alojamiento;"Portal de alojamientos rurales (multi-propiedad), Atención personalizada; Motor de reservas";0;3;3;;;
16848;ia_2611;<b>Santo Mauro</b> Luxury Collection Hotel Madrid;Madrid;Alojamiento;"Hotel 5★, Restaurante gourmet; Jardines privados";0;3;3;;;
16871;ia_2640;<b>Sonder Malasaña</b>: apartamentos de diseño en el centro de Madrid;Madrid;Alojamiento;"Apartamentos turísticos, Cocina equipada; Check-in digital";0;3;3;;;
16864;ia_2633;<b>The Oliver Apartamentos</b> Aravaca: confort y diseño en Madrid;Madrid;Alojamiento;"Apartamentos turísticos, Parking; Cocina equipada";0;3;3;;;
16884;ia_2653;<b>TimesRoom Madrid</b>: diseño y privacidad en alojamiento flexible;Madrid;Alojamiento;"Hotel por horas / Short-stay hotel, Check-in digital; WiFi";0;3;3;;;
16886;ia_2655;<b>UMusic Hotel Madrid</b>: hotel 5★ con rooftop y piscina;Madrid;Alojamiento;"Hotel 5★ temático, Piscina rooftop; Teatro Albéniz";0;3;3;;;
16858;ia_2622;<b>Unique Houses</b> Madrid: diseño, privacidad y exclusividad;Madrid;Alojamiento;"Viviendas singulares, Concierge; Rooftop";0;3;3;;;
16856;ia_2620;<b>Urban Campus Atocha</b>: coliving con coworking en Madrid;Madrid;Alojamiento;"Coworking; Gimnasio, Coliving";0;3;3;74629;74628;74627,74630,74631
16860;ia_2624;<b>Urban Campus Malasaña</b>: coliving creativo en el centro de Madrid;Madrid;Alojamiento;"Coliving, Coworking; Rooftop";0;4;4;74632;74633;74634,74635,74636
16855;ia_2619;<b>Urban Campus</b> Avenida América: coliving moderno en Madrid;Madrid;Alojamiento;"Coliving / Residencia, Coworking; Gimnasio";0;3;3;;;
16857;ia_2621;<b>Villas del Encinar</b>: exclusividad y confort en Madrid Norte;Madrid;Alojamiento;"Apartamentos / Villas, Piscina; Seguridad 24h";0;3;3;;;
5252;a_barra_;A barra ;Madrid;Restaurantes;Top, Español, Vegetariano, Restaurantes;0;4;4;47455;47454;47453,47456,47457,47458,47459,47460,47461,47462
5865;a_mi_manera;A mi Manera;Ibiza;Restaurantes;Top, Tradicionales, Mediterranea, Restaurantes;0;3;3;49655;;
17257;ia_3077;A mi que fruta;Madrid;Compras;"Fruterías y verdulerías, Frutería moderna; Frutas selectas; Servicio personalizado";0;3;3;;;
15445;ia_1030;A ñora;Madrid;Restaurantes;Mediterránea, Local Cuisine, Platos mediterráneos, Tapas creativas;0;3;3;;;
15991;ia_1608;A Ñora;Madrid;Restaurantes;"Mediterranea, Arroces; Tapas; Carnes";0;3;3;;;
15761;ia_1355;A Pulpeira;Madrid;Restaurantes;Gallega, Mariscos, Cocina gallega;0;3;3;;;
16474;ia_2156;A Ri Rang;Madrid;Restaurantes;Coreana / Asiática, Cocina tradicional coreana;0;3;3;;;
114;a_summer_story_;A Summer Story ;Madrid;Fiesta;Festivales, Electrónica, Comercial, Otro;0;4;4;15788;15789;
16444;ia_2112;A Toda Mesa — ATM Burger (Leganés);Madrid;Restaurantes;Americana / Hamburguesas, Hamburgueserías / Food truck;0;3;3;;;
3591;a_tu_bola_;A TU BOLA ;Barcelona;Restaurantes;Low cost, Fusión, Restaurantes;0;4;4;23258;23264;23259,23260,23261,23262,23263,23265,23266,23267
14876;ia_452;A vÁnvera;Madrid;Restaurantes;Internacional, Platos internacionales;0;3;3;;;
1017;ayb_hostel_principe_pio;A&B Hostel Principe Pio;Madrid;Alojamiento;Low cost;0;4;4;16967;16968;16969,16970
14539;a'barra;A'Barra;Madrid;Restaurantes;Degustación, Comida Fusión;0;4;4;;;74463,74464,74465,74466
15801;ia_1395;A'Cañada;Madrid;Restaurantes;Española, Tapas, Cocina tradicional;0;3;3;;;
15796;ia_1390;A'Kangas by Urrechu;Madrid;Restaurantes;Española, Carnes, Parrilla;0;3;3;;;
17047;ia_2867;AAVV La Vecinal del Barrio Bilbao y Pueblo Nuevo;Madrid;Eventos;Asociación vecinal;0;3;3;;;
455;abc_serrano;ABC Serrano;Madrid;Compras;Centros comerciales;0;4;4;16457;16458;16459,16460
15364;ia_949;Ablanedo;Madrid;Restaurantes;Española, Arroces, Carnes, Pescados;0;3;3;;;
15400;ia_985;AbonaVida;Madrid;Restaurantes;Española, Ensaladas, Bowls, Brunch;0;3;3;;;
163;ac_hotel_aitana_by_marriott_4;AC Hotel Aitana by Marriott 4*;Madrid;Alojamiento;Hoteles;0;4;4;18163;18164;18165,18166,18167,18168
164;ac_hotel_madrid_feria_by_marriott_4;AC Hotel Madrid Feria by Marriott 4*;Madrid;Alojamiento;Hoteles;0;4;4;17630;17631;17632,17633,17634,17635
3217;ac_hotel_malaga_palacio;AC Hotel Málaga Palacio;Málaga;Alojamiento;Hoteles;0;1;3;21086;21084;21083,21085,21087,21088,21089,21090,21091,21092
165;ac_hotel_recoletos_by_marriott;AC Hotel Recoletos by Marriott;Madrid;Alojamiento;Hoteles;0;4;4;16878;16879;16880,16881,16882,16883
81;ac_palacio_del_retiro_5;AC Palacio del Retiro 5*;Madrid;Alojamiento;Hoteles;1;4;4;;;16266,16267,16268
171;ac_santo_mauro_5;AC Santo Mauro 5*;Madrid;Alojamiento;Hoteles, Restaurante, Spa, Concierge, Traslados;0;4;4;15690;15691;15692,15693
17676;ia_3505;AceitePaTuCoche.com;Madrid;Compras;Accesorios y recambios de automóvil, Venta de aceites, aditivos, productos para motor;0;3;3;;;
3184;acinipo;Acinipo;Málaga;Qué ver;Plazas y monumentos, Arquitectura;0;4;4;20897;20900;20896,20898,20899,20901,20902,20903,20904,20905
5370;acinipo__ronda_la_vieja_;Acinipo, Ronda la Vieja ;Málaga;Qué ver;Arquitectura: plazas y monumentos;0;3;3;;48302;
17600;ia_3429;Acoser Máquinas de Coser, S.L.;Madrid;Compras;Hogar y Decoración, Reparación, repuestos, formación básica;0;3;3;;;
19211;ia_5575;Action Live;Madrid;Experiencias Unicas;Paintball;0;1;1;73783;73781;73782
16911;ia_2681;Actuación flamenca íntima;Madrid;Eventos;Espectáculo flamenco en tablao;0;3;3;;;
4805;ad_hoc_;Ad Hoc ;Madrid;Compras;Tiendas, Marcas y Productos Locales;0;3;3;;;
15654;ia_1248;Adaly;Madrid;Restaurantes;Mediterránea / Creativa, Arroces / Pescados / Carnes;0;3;3;;;
15403;ia_988;Aderezo 37;Madrid;Restaurantes;Española, Carnes, Guisos, Tapas;0;3;3;;;
17544;ia_3365;Adler Watches;Madrid;Compras;"Joyería y relojería de lujo, Joyas suizas; Relojes exclusivos; Diseño creativo";0;3;3;;;
5855;adlib_fashion_boutiques;Adlib fashion boutiques;Ibiza;Compras;Zonas de compras;0;4;3;49622;49621;49623,49624,49625,49626
17330;ia_3151;Adolfo Domínguez;Madrid;Compras;"Ropa y accesorios, Moda sostenible; Diseño atemporal; Prendas de autor";0;3;3;;;
15123;ia_707;Adrak Indian Cuisine;Madrid;Restaurantes;Internacional, Currys | Tandoori | Biryani | Naan;0;3;3;;;
14741;ia_293;Adrede;Madrid;Restaurantes;Mediterránea, Española, Tapas gourmet, Carnes;0;3;3;;;
3837;adrian_tropical_lincoln;Adrian Tropical Lincoln;Santo Domingo;Restaurantes;Tradicionales;0;4;4;25385;25382;25381,25383,25384,25386,25387,25388,25389,25390
15529;ia_1116;Aduana - Hotel Fénix Gran Meliá;Madrid;Restaurantes;Mediterranea, Alta cocina;0;3;3;;;
5155;adults_only__hollywood;Adults Only, Hollywood;Filipinas;Fiesta;Discotecas;0;4;4;46306;46314;46307,46308,46309,46310,46311,46312,46313,46315
5404;aerodifusion_;AERODIFUSIÓN ;Madrid;Ocio y eventos;Experiencias y actividades, Ocio, Otro;0;3;3;48425;48427;48423,48424,48428
1756;aerosmith;AEROSMITH;Madrid;Ocio y eventos;Conciertos, Rock, Musical;1;4;3;18817;18818;18815,18816
17479;ia_3300;Aerowatch;Madrid;Compras;"Joyería y relojería de lujo, Relojes clásicos; Producción familiar; Tradición artesanal";0;3;3;;;
4043;africa_centro_de_estetica;Africa Centro de Estética;Ronda;Experiencias y Actividades;Experiencias y Actividades, Comercios, productos locales y artesanía;0;1;1;41834;31391;31386,31387,31388,31389,31390
5708;after_brunch_;After Brunch ;Madrid;Ocio y eventos;Espectáculos, Musical;1;3;3;;;
14843;ia_417;Agarimo;Madrid;Restaurantes;Gallega, Mariscos, Carnes;0;3;3;;;
3946;àgora_3_galeria_de_arte;ÀGORA 3 Galería de arte;Barcelona;Compras;Galerías de arte;0;4;4;28574;28561;28557,28558,28560,28562,28563,28564,28565,28566
17068;ia_2889;AGORA BIKES;Madrid;Compras;Bicicletas y accesorios, Venta y reparación de bicicletas, Accesorios y customización, Servicios de asesoramiento ciclista;0;3;3;;;
17078;ia_2899;AGORA BIKES;Madrid;Compras;"Bicicletas y accesorios, Venta de bicicletas urbanas; Taller de reparación y personalización; Asesoría de accesorios";0;3;3;;;
3281;agora_mall;Agora Mall;Santo Domingo;Restaurantes, Compras, Ocio y eventos;Ferias, Centros comerciales, Tiendas, Experiencias y actividades, Exposiciones y Espectaculos, Cines y Teatros y Salas de concierto;0;4;4;21471;21470;21472,21473,21474,21475,21476,21477,21478,21479
1390;agrado_cabaret;Agrado Cabaret;Madrid;Fiesta;Bares de copas, Salas de concierto;0;4;3;15626;15627;15628,15629,15632,15633,15635,15640,15641,15642,15643
5968;agroturismo_atzaro_ibiza;Agroturismo ATZARO ibiza;Ibiza;Alojamiento;Hoteles;0;4;3;49975;49976;49977,49978
5964;aguamar_water_park;Aguamar Water Park;Ibiza;Qué ver;Cool Places;0;4;3;49939;49938;49940,49941,49942
4116;aguas_de_ronda;Aguas de Ronda;Ronda;Experiencias y Actividades;Experiencias y Actividades;0;4;4;34326;34329;34327,34328,34334,34335
5293;aguatinta;Aguatinta;Aranjuez;Restaurantes;Top;0;3;3;;;47777,47778,47779,47780,47781,47782,47783,47784,47785,47786
17281;ia_3101;Aiana Larocca Moda Infantil;Madrid;Compras;"Moda infantil y bebés, Moda infantil; Estilo elegante; Prendas exclusivas";0;3;3;;;
17311;ia_3132;Ailanto;Madrid;Compras;"Ropa y accesorios, Moda de autor; Ediciones limitadas; Diseño exclusivo";0;3;3;;;
14885;ia_462;Ainhoa;Madrid;Restaurantes;Vasca, Bacalao, Chuletón, Pintxos;0;3;3;;;
1056;aio_;Aió ;Madrid;Restaurantes;Low cost, Italiano, Restaurantes;1;4;4;15875;15876;15877
14724;ia_274;Ají & Sillao;Madrid;Restaurantes;Peruana, Japonesa, Ceviches, Sushi;0;3;3;;;
16822;ia_2575;Akeah Hotel;Madrid;Alojamiento;Hoteles, Terraza oculta con cócteles;0;3;3;;;
16758;ia_2513;Akeah Hotel Gran Vía;Madrid;Alojamiento;Design Hotel, Diseño moderno, bar;0;3;3;;;
18538;ia_5731;Akenay;Madrid;Wellness;Centro de estética;0;1;1;;;
17220;ia_3040;Akios Barber;Madrid;Compras;"Peluquerías y barberías, Barbería internacional; Estilo contemporáneo; Cortes exclusivos";0;3;3;;;
14763;ia_323;Aklla - Tapas Peruanas;Madrid;Restaurantes;Peruana, Ceviches, Tapas;0;3;3;;;
14666;ia_211;Al Alma;Madrid;Restaurantes;Mediterránea / Saludable, Ensaladas, Platos mediterráneos, Brunch;0;3;3;;;
15067;ia_651;Al Fuego;Madrid;Restaurantes;Tradicionales, Parrilla;0;3;3;;;
6000;al_nafoorah;Al Nafoorah;Dubai;;;0;4;3;50098;50099;50097,50100,50101
15448;ia_1033;Al Paseo;Madrid;Restaurantes;Arroces, Carnes, Pescados, Española, Tradicional, Mediterránea;0;3;3;;;
14855;ia_430;Al Punto;Madrid;Restaurantes;Mediterránea, Española, Carnes, Arroces;0;3;3;;;
14882;ia_459;Al Punto y Brasa;Madrid;Restaurantes;Española, Argentina, Carnes a la brasa, Tapas;0;3;3;;;
16058;ia_1677;Al Sahara;Madrid;Restaurantes;"Marroquí, Couscous; Tajine";0;3;3;;;
