Inversor,Tipo,Web,Email,LinkedIn,Ticket/Fases,Sectores interés,Geografía,HQ Country,Descripción,Origen BBDD,Owner sugerido,Próxima acción,Notas
Briseida Sea Ventures,VC,https://briseidaventures.com/,info@briseidaventures.com,https://www.linkedin.com/company/briseida-sea-ventures,Seed,Bluetech / Maritime / Logística portuaria,Gijón (Asturias),España,"Venture builder industrial en transporte marítimo y sostenibilidad marina (2022). Fundador: Ignacio Franganillo. Vinculado a Grupo Junquera Marítima.",VBuilders España,,Email + LinkedIn,Verified — bluetech specialist único
Byld,VC,https://byld.xyz/,hi@byld.xyz,https://www.linkedin.com/company/byld-co/,Corporate venture,Corporate Innovation,Madrid,España,"Corporate venture builder con foco en construir startups con grandes empresas. Madrid. Co-fundadores: Pablo López y Pablo Ventura.",VBuilders España,,Email + LinkedIn,Top tier corporate
Clintell,VC,https://clintell.io/,info@clintell.io,https://es.linkedin.com/company/clintell,Seed,IA / Data Science / ML,Madrid,España,"Originalmente consultora AI/ML (2016) que pivotó a venture builder en 2023. Producto destacado: Routify (rutas para camiones cisterna). Levantó 1.2M€.",VBuilders España,,Email + LinkedIn,Verified
Corporate LAB,VC,https://wearecorporatelab.com/,info@wearecorporatelab.com,https://www.linkedin.com/company/wearecorporatelab,Corporate venture,Corporate Innovation / Startup-as-a-Service,Barcelona,España,"Corporate venture studio del VIKO GROUP. Co-crea startups con corporaciones. Portfolio: Okify, Coventia, Equipzila.",VBuilders España,,Email + LinkedIn,Verified
Drag Along Ventures,VC,,,https://www.linkedin.com/company/drag-along-ventures,Seed,Legaltech,España,España,"Venture builder lanzado por Delvy (despacho legal). Foco en innovación y eficiencia en sector legal.",VBuilders España,,LinkedIn manual,Verified — legal specialist
Eywa Space,VC,https://www.eywa.space/,info@eywa.space,https://es.linkedin.com/company/eywa-space,Pre-seed/Seed,AR / VR / XR / Inmersivo,San Sebastián,España,"Venture builder especializado en AR/VR/XR fundado en 2017. 13 inversiones en agrotech, sports, edtech, ehealth, industria 4.0, retail.",VBuilders España,,Email + LinkedIn,Verified — XR specialist
Farside Ventures,VC,https://farside.es/,info@farside.es,https://es.linkedin.com/company/farside-ventures-s-l,Pre-seed/Seed,Deeptech / Fintech / Greentech / 5G / Blockchain,Barcelona,España,"Venture builder paraguas (2020) que agrupa 101 Ventures, 5G Ventures, The Data Venture, Fintech Ventures, Sustainability/Green Ventures. Fundadores: Rafael García-Escarré, Marc Borrell, Jordi Priu, Oriol Relats, Guillermo Briones. 22 startups, target 50 en 2026.",VBuilders España,,Email + LinkedIn,Verified — TOP TIER paraguas
Fintech Ventures,VC,https://farside.es/,info@farside.es,,Pre-seed/Seed,Fintech,Barcelona,España,"Vertical fintech de Farside Ventures. Crea soluciones fintech para business models tradicionales.",VBuilders España,,Email Farside,Verified — Farside subsidiary
Fusión Startups,VC,https://fusionstartups.com/,info@fusionstartups.com,,Pre-seed (hasta 25K€),Tech / IA generalista,Andalucía,España,"Venture builder andaluz que co-crea startups tech con metodología venture builder + IA + capital estratégico hasta 25K€.",VBuilders España,,Email + LinkedIn,Verified — Andalucía
Gastro ventures,VC,,,https://www.linkedin.com/company/gastroventures,Seed,Foodtech / Alta cocina / Hostelería,Fontanals de Cerdanya (Girona),España,"Innovation hub foodtech. Tiene Koete Food Venture Fund I + Koete Food Venture Builder I. Co-organiza Science & Cooking en Harvard. Portfolio: Alacarte, 1933 Signature Cocktails, Carrot, Gastronomy Solutions.",VBuilders España,,LinkedIn manual,Verified — foodtech alta cocina
Gellify Digital Ventures,VC,https://gellify.com/,info@gellify.com,https://www.linkedin.com/company/gellify/,Series A,B2B Software / SaaS,Bolonia / Madrid,Italia,"Plataforma italiana de innovación B2B con presencia en España. Combina venture builder, advisory y networking. CEO: Fabio Nalucci.",VBuilders España,,LinkedIn + email,Internacional con foco España
Green Ventures,VC,https://greenventures.eu/,info@greenventures.eu,,Seed,Climate Tech / Sostenibilidad / ESG,Barcelona,España,"Venture builder climate tech del equipo Farside (Marc Borrell, Guillermo Briones, Rafael García, Jordi Priu, Oriol Relats). Target: 6 proyectos impacto en 3 años bajo ODS/ESG.",VBuilders España,,Email + LinkedIn,Verified — climatetech
HOMU Health Ventures,VC,https://www.homuhealthventures.com/,info@homuhealthventures.com,https://www.linkedin.com/company/homu-invest-health-ventures,Seed,Healthtech / Reproductive medicine / Genomics / Medical devices,Barcelona,España,"Mayor incubadora/aceleradora/VB de biomedicina con foco en salud reproductiva (2019). Fundadores: Dr. Santiago Munné, Dr. José Horcajadas, Dr. David Cotan, Delfí Torns. Portfolio: Sama, Rosa, Butterfly.",VBuilders España,,Email + LinkedIn,Verified — fertility specialist
Igeneris Ventures,VC,https://www.igeneris.com/,info@igeneris.com,https://www.linkedin.com/company/igeneris/,Corporate venture,Corporate Innovation,Madrid,España,"Consultora estratégica especializada en innovación y nuevos negocios. Branch venture builder de igeneris.",VBuilders España,,Email + LinkedIn,
Iestart,VC,https://www.iestart.com/,info@iestart.com,,Pre-seed (10K-50K€),Foodtech,País Vasco,España,"Iniciativa nacida de ieTeam para impulsar startups. Pre-seed entre 10K y 50K€. Foco foodtech.",VBuilders España,,Email + LinkedIn,Verified — Vasco foodtech
Impact Ventures,VC,,,,Seed,Impacto social / Sostenibilidad,España,España,"Concepto general — varios VBs españoles se llaman así (Anima, Seven Roots, Zubi). Confirmar identidad exacta antes de outreach.",VBuilders España,,Verificar identidad,Ambiguo
Iris Ventures,VC,https://irisventure.com/,info@irisventure.com,https://es.linkedin.com/company/iris-venture-builder,Seed,Cybersecurity / Cloud / Data / B2B,Barcelona (Tibidabo),España,"Venture builder B2B foco en ciber/cloud/data. 5 startups lanzadas (3 vendidas). Portfolio: Ciberia, Veltech, Velorum, Skilia, Tranxfer, uCloud.",VBuilders España,,Email + LinkedIn,Verified — cyber specialist
Mas50,VC,https://www.mas50.es/,info@mas50.es,https://www.linkedin.com/company/mas50,Seed,Senior / Silver economy / Talent / Big Data / IA,Bilbao,España,"Venture builder del Grupo Renewa (2020). Foco en economía senior 50+. Co-fundador: Albert Corbi.",VBuilders España,,Email + LinkedIn,Verified — silver economy
Mática,VC,https://matica.ai/,info@matica.ai,https://www.linkedin.com/company/matica-venture-builder,Seed/Series A,IA / Big Data,Barcelona (Roma 13),España,"Mática Venture Builder es el vehículo de inversión de Mática Partners. Fundadores: Juan Ramón González, Marc Serra Majem, Víctor Fernández, Rubén Robles, Pedro Pons. Spinoff: Aqtiva.ai.",VBuilders España,,Email + LinkedIn,Verified — AI/Data
MasVentures,VC,https://masventures.es/,info@masventures.es,https://www.linkedin.com/company/masventures/,Corporate venture,Telecom / CX / Disruptive Tech,Madrid,España,"Programa Corporate Venturing del Grupo MásMóvil. Aceleración 4 meses. Categorías: CX, Tecnologías Disruptivas, Nuevas Oportunidades.",VBuilders España,,Email + LinkedIn,Verified — Corporate MásMóvil
Mola Tech Venture Holding,VC,https://www.molafounder.com/,hello@molafounder.com,https://www.linkedin.com/company/mola-founder/,Pre-seed/Seed,Tech generalista / Marketplaces,Madrid,España,"Conocido como MOLA Founder o Mola Capital. Fundado por Carlos Blanco. Venture builder y aceleradora con foco en pre-seed/seed.",VBuilders España,,Email + LinkedIn,Top tier
Mutter ventures,VC,https://www.mutterventures.com/,hello@mutterventures.com,https://www.linkedin.com/company/mutter-ventures/,Pre-seed,Marketplaces / DNVB / SaaS / FinTech / IoT,Barcelona,España,"VB barcelonés (2018). Primer VB español en cotizar Euronext Access. Foco marketplaces y digital native vertical brands.",VBuilders España,,Email + LinkedIn,Verified — listed
Nidio Invest,VC,,,https://www.linkedin.com/company/nidio-invest,Seed,Generalista,España,España,Solo perfil LinkedIn público. Sin web verificable.,VBuilders España,,LinkedIn manual,Solo LinkedIn
Nodriza Tech,VC,https://nodrizatech.com/,info@nodrizatech.com,https://es.linkedin.com/company/nodriza-tech,Seed,Tech / Digital,Cuarte de Huerva (Zaragoza),España,"Primer venture builder aragonés (2007). 70+ profesionales. 8 marcas activas + 7 exits. 15+ años de experiencia.",VBuilders España,,Email + LinkedIn,Verified — Aragón pioneer
Nowture,VC,https://nowture.com/,hello@nowture.com,https://www.linkedin.com/company/nowture/,Pre-seed/Seed,Tech / Sostenibilidad,Madrid,España,Venture builder con foco en proyectos tech con propósito.,VBuilders España,,Email + LinkedIn,
Nuclio,VC,https://nuclio.com/,info@nuclio.com,https://www.linkedin.com/company/nuclio/,Pre-seed,Tech generalista,Barcelona,España,"Venture builder y bootcamp digital fundado por Carlos Blanco (también de Mola).",VBuilders España,,Email + LinkedIn,Top tier
Redit Ventures,VC,,,,Seed,Generalista,España,España,Sin información pública relevante encontrada.,VBuilders España,,LinkedIn manual,No encontrado
Seven Roots,VC,https://www.sevenrootsvc.com/,info@sevenrootsvc.com,https://es.linkedin.com/company/seven-roots-vc,Seed (max 7 companies),Beauty / Edtech / Foodtech / Impacto positivo,Barcelona,España,"VB y fondo impacto positivo (2020). Fundadoras: Sandra Rams (managing partner) + Soly Sakal (CEO Rhombus). Marca propia: Keami (self-care kobido).",VBuilders España,,Email + LinkedIn,Verified — impact specialist
Sonar Ventures,VC,http://sonarventures.com/,info@sonarventures.com,https://www.linkedin.com/company/sonar-ventures,Seed,Internet / Digital / LatAm,Madrid,España,"Primer company builder de España (2012). Foco España + LatAm. CEO: Alvaro Cuesta. Lean startup + adaptación de business models internacionales.",VBuilders España,,Email + LinkedIn,Verified — pionero
Startsud,VC,https://startsud.com/,info@startsud.com,https://es.linkedin.com/company/startsud,Pre-seed/Seed,Turismo / Agribusiness / Digital,Reus (Tarragona),España,"VB de la Cataluña Sud. Fundadores: Marc Arza, Xavier Càmara, Miquel Mora, Enric Ginovart, Joel Vicient. Programa de 4 meses. Target: 10 startups por 100M€ en 5 años.",VBuilders España,,Email + LinkedIn,Verified — Tarragona
Tecnalia Ventures,VC,https://www.tecnaliaventures.com/,info@tecnaliaventures.com,https://www.linkedin.com/company/tecnalia-ventures/,Seed,Deeptech / Industrial / Materials,País Vasco,España,"Brazo de venture building de Tecnalia, centro tecnológico vasco. Foco en spinoffs deeptech.",VBuilders España,,Email + LinkedIn,Deeptech specialist
The Collider,VC,https://thecollider.tech/,info@thecollider.tech,https://www.linkedin.com/company/the-collider/,Pre-seed,Deeptech / Science / Industrial,Barcelona,España,"Programa de venture building de Mobile World Capital Barcelona. Foco en transferir ciencia a producto.",VBuilders España,,Email + LinkedIn,Top tier deeptech
The Cube,Aceleradora,https://andalucia.openfuture.org/reto/el-cubo/,elcubo@openfuture.org,https://www.linkedin.com/showcase/andalucia-open-future,Pre-seed,Tech / Digital,Sevilla (PCT Cartuja),España,"Acelerador (no VB) de Andalucía Open Future (Telefónica + Junta de Andalucía). 374 startups aceleradas. Programa 4+4 meses.",VBuilders España,,Email + LinkedIn,Reclasificar como aceleradora
The Data Ventures,VC,https://farside.es/,info@farside.es,,Pre-seed/Seed,Web3 / Blockchain / Data,Barcelona,España,"Vertical web3/blockchain de Farside Ventures. Primer VB español para web3.",VBuilders España,,Email Farside,Verified — Farside subsidiary
The Fringe Labs,VC,,,,Seed,Tech,España,España,Sin información pública verificable.,VBuilders España,,Search profundo,No encontrado
The Ventures Lab,VC,https://thelabventures.com/,info@thelabventures.com,,Seed,Digital / Sectores baja transformación digital,Madrid + Valencia,España,"The Lab Ventures — VB fundado en 2018. Construye startups digitales en sectores con baja transformación digital.",VBuilders España,,Email + LinkedIn,Verified (probablemente The Lab Ventures)
The Net Street,VC,,,,Seed,Tech,España,España,Sin información pública verificable.,VBuilders España,,Search profundo,No encontrado
Uniq Ventures,VC,https://www.uniq.ventures/,info@uniq.ventures,https://www.linkedin.com/company/uniqventures,Seed,Fintech / Insurtech / Open banking / Blockchain,Barcelona + La Massana (Andorra),España,"Primer VB español especializado en fintech e insurtech. Foco España + Sur Europa + LatAm.",VBuilders España,,Email + LinkedIn,Verified — fintech specialist
Updid Ventures,VC,,,,Seed,Generalista,España,España,Sin información pública verificable — posible typo.,VBuilders España,,Verificar nombre,No encontrado
Vess,VC,https://vess.digital/,info@vess.digital,,Seed,Digital / Energy / Health / Sustainable mobility,Sevilla,España,"Venture Studio Sevilla (VESS). Adapta ideas disruptivas de Asia al mercado local.",VBuilders España,,Email + LinkedIn,Verified — Sevilla
Wedid Ventures,VC,https://www.wedidventures.com/,info@wedidventures.com,https://www.linkedin.com/company/wedid-ventures,Seed,Digital / Industrias tradicionales,Barcelona + Londres,España,"VB barcelonés (2019). Construye empresas digitales con emprendedores transformando industrias tradicionales.",VBuilders España,,Email + LinkedIn,Verified
Woonkly,VC,https://woonkly.com/,info@woonkly.com,https://www.linkedin.com/company/woonkly/,Seed,Web3 / Blockchain / NFT,España,España,Venture builder y plataforma social Web3.,VBuilders España,,Email + LinkedIn,Web3 specialist
Zebra Ventures,VC,https://zebraventures.eu/,info@zebraventures.eu,https://es.linkedin.com/company/zebraventures,Seed (2M€ dotación),Generalista / Impacto regional,Zaragoza (Impact Hub),España,"VB nacido en Zaragoza (2022) con 2M€. Tres áreas: ZIN (25+ inversores), Startups (acel/scale), Talent. CEO: Sergio Martínez.",VBuilders España,,Email + LinkedIn,Verified — Aragón
Zubilabs,VC,https://zubilabs.com/,info@zubilabs.com,https://www.linkedin.com/company/zubigroup/,Pre-seed/Seed/Series A (hasta 1M€),Climate-tech / Con-tech / Prop-tech / Ed-tech / Sustainability,Valencia (+Madrid+Barcelona),España,"Impact Venture Builder fundado por Iker Marcaide en 2014. Hasta 1M€ desde idea a Series A.",VBuilders España,,Email + LinkedIn,Verified — top impact VB
Antai,VC,https://www.antaivb.com/,info@antaivb.com,https://www.linkedin.com/company/antai,Pre-seed/Seed,Marketplaces / On-demand / DNVB,Barcelona,España,"DUPLICADO — ver Antai Venture Builder.",VBuilders España,,,DUPLICADO
